stephanme,anEXPer,ChrisMcGowan,ameowlia
2,3,4,1
3,2,4,1
1,4,3,2
3,4,1,2
No opinion,2,No opinion,1
2,4,4,1
1,4,3,2
1,3,4,2
3,2,4,1
No opinion,No opinion,1,No opinion
1,4,3,2
1,No opinion,No opinion,No opinion
1,3,4,2
2,No opinion,3,1
2,4,3,1
4,No opinion,No opinion,2
3,4,1,2
No opinion,2,No opinion,1
2,4,3,1
2,4,3,1
3,2,4,1
2,4,4,1
No opinion,2,3,1
2,3,4,1
4,2,3,1
1,No opinion,No opinion,2
4,3,2,1
1,4,3,2
3,4,1,2
1,4,3,2
4,2,3,1
2,4,3,1
2,No opinion,3,1
1,4,3,2
3,2,4,1
3,4,2,1
4,2,4,1
No opinion,No opinion,1,No opinion
4,2,3,1
4,1,4,1
3,4,1,2
1,4,4,2
4,1,1,1
2,4,3,1
2,3,4,1
4,2,3,1
4,2,3,1
2,3,4,1
2,3,3,1
3,2,2,1
1,4,4,2
1,3,3,2
4,1,3,2
4,2,3,1
2,4,3,1
2,4,3,1
1,No opinion,No opinion,2
1,4,3,2
2,4,1,3
3,4,2,1
1,4,3,2
4,4,1,4
2,4,3,1
2,4,3,1
1,No opinion,2,2
1,2,4,3
1,No opinion,No opinion,3
